model_id,model_label,tier,total_rows,human_flagged,human_scored,human_score_avg,human_score_std,avg_response_time,total_cost_usd,avg_input_tokens,avg_output_tokens,faithfulness_avg,faithfulness_std,answer_relevancy_avg,answer_relevancy_std,context_precision_avg,context_precision_std,context_recall_avg,context_recall_std
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,98,20,20,3.7,1.4179302929937965,5.979673913043478,0.18177000000000001,12994.739130434782,44.25,0.9043478260869565,0.28203072215093944,0.8695652173913043,0.3304140361128622,0.8152173913043478,0.37794551110517044,0.7728260869565217,0.36991334324378533
gpt-4o,GPT-4o  (balanced),mid,98,19,19,4.2105263157894735,1.1822270588653645,4.406263736263736,2.9951290000000004,12993.956043956045,42.857142857142854,0.9241758241758241,0.2500402897937581,0.8648351648351648,0.3314525695492582,0.8406593406593407,0.3505481491664232,0.7873626373626375,0.34805757877695775
o1-mini,o1-mini  (reasoning / best),high,98,19,19,4.526315789473684,0.9642741111341259,3.2286956521739127,1.3318020000000002,12988.0,43.02173913043478,0.9239130434782609,0.2486754207454833,0.8804347826086957,0.3149181405705168,0.8456521739130435,0.33852071323912436,0.7885869565217393,0.33798882068039054
